名称,地点,薪资,招聘需求,详情网址,区域
自然语言处理算法工程师,上海·徐汇区·漕河泾,22-40K·16薪,"1-3年,硕士",https://www.zhipin.com/job_detail/757abbeee02553e41HBz39y4EFJS.html?lid=4R1tBV5IMvF.search.139&securityId=OZlklIp2VjMUp-u1zDhIKdTinX-_ylQohshQ5ZQG6kx0oAEQJmQ7zCQ8bhlI8IOS-Dyj_P-4iT55WlyrNe2fho_xrP_A8lmjuEz4FJXIT_MQM2pi8ZHA6qpccgWGOqw9zQeis5ETPWo~&sessionId=,徐汇区
AI游戏算法工程师,上海,40-60K·13薪,"5-10年,本科",https://www.zhipin.com/job_detail/4b491b07964e44b11HF60t-5FVNW.html?lid=4R1tBV5IMvF.search.140&securityId=9JBgta_JIcv6c-51a9A7nUzbgeJWOv5zcx-e4YqgWZ_lT4rHI4cvWNsbkVBgTiX6lHWAXqV3vR3VWKJmUs0EBjQTDcfFJoUcacFpQu1q71RB1uhGM6-i0F1TAFykv9sPfGrAmyLGVA~~&sessionId=,徐汇区
几何算法工程师,上海·徐汇区·漕河泾,20-30K,"5-10年,本科",https://www.zhipin.com/job_detail/346dc57f79849cdf1Hdy3N21GVBX.html?lid=4R1tBV5IMvF.search.141&securityId=2p8OJh-P5atD1-518Z7tRVg_Rt7ccoWLqzgi0T5zI-jOOaR-rDtvWRQR-s100CZIa29Xoef5ccx4iB3SFUFA6zZOdnSXLneFwKFnzUZKVE0qMVOCDy_NpLiTphB4KSmcROqHvwmL0Q~~&sessionId=,徐汇区
算法工程师,上海·徐汇区·漕河泾,15-25K·15薪,"1-3年,本科",https://www.zhipin.com/job_detail/7aef9cf9bf99435e1HZ43d-6FVBU.html?lid=4R1tBV5IMvF.search.142&securityId=LAhLSjlNmPcTR-L12x1dwjQtv_tzeOaBndJPIbO0mKJ_H8ZxaXbsPPIKG8ZHxLXpYc14vHGQyMgc8-aEcXb_o5XKoIvpeK8KjHjpYABx9waoE67y3jIipDvdOks6Cu_flFdJ04Gv2Lw~&sessionId=,徐汇区
资深算法工程师（框架方向） (MJ001635),上海·徐汇区·徐家汇,30-60K·16薪,"经验不限,本科",https://www.zhipin.com/job_detail/5282080e25d756081HB93N-_E1JS.html?lid=4R1tBV5IMvF.search.143&securityId=CPHSekAsSu-Vr-11On1Isc13Ah7Cwt5_aANclhxUV_SAqFtu7NSlN2o_MiXDgBgBE9f5XJ19wmwj7gA6nENCnqRDTXLDbvV-ACiNeaWhSgQgw-6tt98QQ0fh1J9bZFyHg1axrxug_A~~&sessionId=,徐汇区
算法工程师（视觉大模型方向）,上海·徐汇区·漕河泾,20-40K·16薪,"经验不限,本科",https://www.zhipin.com/job_detail/b8b058e4438647481HZy2dm8FlJQ.html?lid=4R1tBV5IMvF.search.144&securityId=P739FwIaMKoQt-q1J_xpy1wKJ-TU4zHEpSnh7Xu1RZZgXVbDpFn616WxWJDMPKoR6QyC9npGv9XmfajJ8AOhmw-zzxG2UyA5dGrnozX5Q3d8B3aoYoEdigOUkFGtEu9VJjjJHPSypbHM&sessionId=,徐汇区
算法工程师,上海·徐汇区·田林,5-9K,"1年以内,硕士",https://www.zhipin.com/job_detail/b0afa093ee126cbf1X163d69FFRT.html?lid=4R1tBV5IMvF.search.145&securityId=IXragFjxh4Wmh-q1Tr76yWpJmvrlzT3pko_pxdv3_qARA8hKRzweknzwLJej2BrwSFH1yoz5Xtrjrpn5OHS8sXGfEs1EylYDEwFbf061kWDEUdwwSFU62iNsr8q12HcGLcmf_vTH-7Sp&sessionId=,徐汇区
多模态文档结构化算法工程师,上海·徐汇区·漕河泾,30-50K,"3-5年,本科",https://www.zhipin.com/job_detail/104f70a05058b1631HBy39-4EFdQ.html?lid=4R1tBV5IMvF.search.146&securityId=CuWr5pUzQIXHF-81sLcOWgi0_NQrmwlPSbYhf8FGk8WMM_1-B0zfnfuHspt2VJtnsd9yW_PnKTrGkH79Iog9BQieal_y3EQcJ35NTPVVHkj8v9HvxFO2jQJ-9w5JsrPOLz4593y88F9r&sessionId=,徐汇区
高级定位算法工程师/专家(GPS/GNSS),上海·徐汇区·龙华,40-70K·18薪,"5-10年,硕士",https://www.zhipin.com/job_detail/d8eac9ff1bfd22ba1Hdz2969GFBZ.html?lid=4R1tBV5IMvF.search.147&securityId=WG30tsCKIzUCb-01RYbJdPii3QbPhGebZq9qs1SzFqGpZOxQCiJ9zisJThhojo7IV1cPIsmrF8P6cJVi4v5H5h5PJhcnByOOMSO0GbOFSqFTWbXQnDG4Sxtgjt_RdNxYALZ4P7E~&sessionId=,徐汇区
（数据分析方向）算法工程师,上海·徐汇区·徐家汇,15-30K·13薪,"1-3年,本科",https://www.zhipin.com/job_detail/e8b1bd9c66f749121Hdy2di0FlVR.html?lid=4R1tBV5IMvF.search.148&securityId=LGdgPomGC83ti-I17dHDe3Af2pvHodPn7QoDC2zhHichAeSjBkgqctA50t46h8hHC8saPU_1apKMsGbQGLOJlQYRISY7IWywYZSbwvj7ybmTarNR5v7mtTSSSWgkNoJ7oArkaPB9WsI~&sessionId=,徐汇区
算法工程师,上海·徐汇区·漕河泾,20-40K,"3-5年,本科",https://www.zhipin.com/job_detail/a7a49a1013d1aad21HRy3tm6EFtR.html?lid=4R1tBV5IMvF.search.149&securityId=ZirjG6Gq41GyX-W1f1dLTsVc2h_fmPVWA62-0fvXlq6yGV4puHghxNeb_7p064m9fx3AVV3Hla54yKFKs6-zq-n9snykGfkMtLxQoG0px9Box6jbpABGWaHriOd2EoAg3ikWj7inVZA~&sessionId=,徐汇区
广告算法工程师,上海,40-70K·14薪,"5-10年,硕士",https://www.zhipin.com/job_detail/6b240ec5b635da011HZ-29W_FVdS.html?lid=4R1tBV5IMvF.search.151&securityId=OozYhlXFaZOu1-u1TwEeksqgMM7hEsGU5HuiD5QG16gPS8EVINkc0VCnLXpd1A7_z_pdGeWmkLV_C_RDHXfRV72rPr5kg-LXoRTjLJb3yJhA76262QUdvgC3ZHFXjeJ7Pjw_PQ~~&sessionId=,徐汇区
nlp算法工程师,上海,30-60K·18薪,"经验不限,学历不限",https://www.zhipin.com/job_detail/7640882d3fa3ef6f1Hd_09S1FVNX.html?lid=4R1tBV5IMvF.search.152&securityId=H2mhWuQq7RGgG-31LAj1o3aJ6O9rb_HtEibBvlDdaGV5UFrs4u1fNgJaSH2y738DdC3uIc2gJ7CCjM6B99t0iYXMACx4VX4JHWbOcIbf7RBK_aIzvqH6vf4fX-wTTq_V9Yi9pX3-lOgi&sessionId=,徐汇区
大模型算法工程师- P7+（一线大厂）,上海,70-100K·16薪,"5-10年,本科",https://www.zhipin.com/job_detail/699402ca4085e10b1HF43N67GVNY.html?lid=4R1tBV5IMvF.search.153&securityId=4lPid2okxs6c--z15GDKO5Uh02-DzKGHWgl5Iw7fpJmnu0NJScZWGJX2YJBjL3fXO4xkVhbJZcJXCFSE4_GvQyTssKuLH9mItM3tAlWwajD_D-MrjCi0qci_RKGSMOYNbqWdAGo~&sessionId=,徐汇区
算法工程师,上海,20-25K,"5-10年,本科",https://www.zhipin.com/job_detail/d8ee95c359e3e2601HB43Nu6FlVV.html?lid=4R1tBV5IMvF.search.154&securityId=xvRoNKLFdbLR7-m17FGJO6sBK2d_DCPP8gXc0Ao9XFM6RnnhOgSFtOKngkpehB20_D5UMoZGHRFhzxRQWWI3vboLj5z4vxmLxTiXlBQ0Xx1VUD5MuAG1OyhfB_KTMfciOypYzf2qEg~~&sessionId=,徐汇区
大模型算法工程师,上海,90-120K,"5-10年,硕士",https://www.zhipin.com/job_detail/d0915b74778406cc1HF509-7FlpR.html?lid=4R1tBV5IMvF.search.155&securityId=wt84buJJNifR--W1nd_0ZHavFyssUcMtM2sA53oXU539ya5U1ybyd7VRpGmsq6OCm-WZ83CdSapKaNRIWxODilOcCdrclBqNBxqAloKwhjunZskRY23mYwZwy9EkDF35Naoi_Q14NMDL&sessionId=,徐汇区
感知融合算法工程师,上海,35-65K,"经验不限,本科",https://www.zhipin.com/job_detail/50cc1a2a0744176c1HZ_3N2_EFZU.html?lid=4R1tBV5IMvF.search.156&securityId=n70YfwI3-AJyI-t1l4_vBVKrNJWpbNZ9WOzFXBucjavTYqXdm3Zsfi4XAB7sqibNeYU9cQViol7CWHdfwLfWtdmW5LpGtqJZrHz4EcQKFiO4y-ysSNBeJWk3-le8d9Hefo5kMg0zRDWW&sessionId=,徐汇区
大语言模型算法工程师,上海·徐汇区·漕河泾,70-100K·16薪,"经验不限,硕士",https://www.zhipin.com/job_detail/01b70889624be7861HF50t28FlJY.html?lid=4R1tBV5IMvF.search.157&securityId=t8zhEMJtlS1fr-710SMENHX194xAynnK-DEpJPXaEK2AEAuLEhEkbWHkmjRjzjkDFxUUjqVoZx1a-x4OILJrwlPA5g-9dMNUb-WfoPwx4br86UaIBadrHT7_ICBTsDxL1Eoi9BmFN3CnyA~~&sessionId=,徐汇区
算法工程师,上海·徐汇区·漕河泾,25-50K,"3-5年,本科",https://www.zhipin.com/job_detail/3890c8b41c42e3491XN83tm0FFFY.html?lid=4R1tBV5IMvF.search.158&securityId=MV6pCqyfrEzZ8-h1-vd0Gg0jn1OAQiqsHv5Xql6rCwa78YOwV-wFHs9bxNZ1cExdgaz1wlC27wCOK3TYaWPwGWh37XSBQf6MxUls6qytdrt2NfpJSwNsTFqS1DtpN6Vuq7ngn4FOgajq0g~~&sessionId=,徐汇区
机器人控制算法工程师,上海,25-40K,"3-5年,硕士",https://www.zhipin.com/job_detail/1ffe69545280fe931Hdy3dy8FVBW.html?lid=4R1tBV5IMvF.search.159&securityId=Ht2K6XkVruCoA-M1YG02BOOU5NtK89Czsrf6v8ROf6RNrVJneVyha1-9upPz8MjyFbGtxKGnYE2mkS41Afi8-q76DIbAR_n6qJGk0VsoGSJmzHZ8drBjabFLCVj0EaesQotKmQLZn5xO&sessionId=,徐汇区
大模型算法工程师,上海,40-70K·16薪,"3-5年,本科",https://www.zhipin.com/job_detail/8005e0d47903f4791Hd839q7ElBQ.html?lid=4R1tBV5IMvF.search.160&securityId=tQMerrJd6ly7_-91gKqSlsEH2G3CyrgmIRCQ4XJVg3Ie1VojeLz4Ea6vXsldUtmGdKcaGdEu9sxoMAv6AMon8ZFTOC7H1inMKANzI0F98uf36MqOWaJ9ZF0CIeHq5v-AVXTKbUVTgg~~&sessionId=,徐汇区
高级算法工程师,上海,50-80K·15薪,"经验不限,硕士",https://www.zhipin.com/job_detail/d445712e08b173981HF63929EVNR.html?lid=4R1tBV5IMvF.search.161&securityId=RtGCKILgLWBil--1muKNSeSy50eQFfAM90g-NNH2ezJQH71HQ7BuZxMi11aX2VuU8EMkSjesHWYr118oFjfwzFGJFPqvi7J30_ywADkK2rOJAMCMYTFtThbZZDJLKKjPn6YxqEdl_Q~~&sessionId=,徐汇区
DS2305高级算法工程师(上海),上海·徐汇区·斜土路,20-40K,"3-5年,本科",https://www.zhipin.com/job_detail/24a05196b21ff62d1Hd53Nq0GVNS.html?lid=4R1tBV5IMvF.search.162&securityId=VS1BTLi3bXGsw-T16sTnl6WxJwYzCBJLF80ynvRhLFEIm5zZ3AebUjTRRzyyCFWpF18Vsrx86n4ZNi83TnGp7RVCQux2o7ykoUFiHDxy-lJTbCpH8yvC8TugFuuAnixstwm-46We&sessionId=,徐汇区
算法工程师,上海·徐汇区·徐家汇,25-35K·14薪,"5-10年,本科",https://www.zhipin.com/job_detail/9e431a405cc295791XNy09u0EVRY.html?lid=4R1tBV5IMvF.search.163&securityId=b8dIvbCI-2Rto-z1JYUGhZxh_pCOmVFzpALQILi6GzPGmCn7P9ElIdXuYAPv4SHSeW67d4Wh4E6IOegZTl8enmBV5wqECGa_VaxCwx2fyOeiDqoAVHAHWcXnFZXhMX3f-AbpZ9OIyEPR&sessionId=,徐汇区
感知算法工程师-- 机器学习/视觉和算法,上海,30-60K·15薪,"经验不限,本科",https://www.zhipin.com/job_detail/82ed3f2e34f98cb11Hd439W9E1FU.html?lid=4R1tBV5IMvF.search.164&securityId=8nal4k3XWX9mH-71l4gx2_RQQFMNv0iMePPT6KhRoYmOcJ6LiUkqe0YOlO1uxB4gtIuzL_sR9A4mDQt3RWZt-bpmE3OhUZhPdYPsAmmm-A33SH9A6QNVcU4sw_Z12eW6AKfMBwIWlJzs&sessionId=,徐汇区
传感器标定算法工程师,上海,22-30K,"1-3年,硕士",https://www.zhipin.com/job_detail/f213b38d703ccaa61Hd_3Nq7FFZW.html?lid=4R1tBV5IMvF.search.165&securityId=53DnC1Mukmtug-F1mqwA-B1gWPBPiFNzJHDNdFf9JI6rVwjCgFsAQp3DNaswtt4QKcWsh4QUJQ9-fwf07KaXzDOY12Om39oWdmHTG-4RQboB_jdp4rVuGkdWm-n2mZRMoIIG2ivFBQ~~&sessionId=,徐汇区
大模型算法工程师,上海,50-80K·14薪,"3-5年,硕士",https://www.zhipin.com/job_detail/ae910e9c5e492c4a1HF609m7GFpY.html?lid=4R1tBV5IMvF.search.166&securityId=Zun8_HkUBrxLa-g1nU6JWsaOrnU5eDQ7bqSwSSY9ykA0_o14nhEZ-2F6J5OfoOakQcAP6rVy83cMC7LmJ7XETSL0IyIg9SQOx9yIVCu6LXPx75HC47axrEPryWP2Rt7EnqKHy3lpvfA~&sessionId=,徐汇区
大模型算法工程师/专家,上海·徐汇区·漕河泾,30-50K·15薪,"经验不限,硕士",https://www.zhipin.com/job_detail/1c934a36d90236131Hd83Nu1EFtW.html?lid=4R1tBV5IMvF.search.167&securityId=GifArnqhNlJnU-M1COpHoLjQmEUe-MBPsdikWNgcct1XtbDTXGnqcwiLTilspHprm3ZFYntx_5GLUQIp4x5IsyLGULO_QO6RqdxDNTa8seMDHljQwSfZp639re3Y4iFEYqNt0hTt&sessionId=,徐汇区
算法工程师,上海·徐汇区·漕河泾,15-30K·13薪,"3-5年,本科",https://www.zhipin.com/job_detail/0060f69e44a1d4641HF72tq7EFJS.html?lid=4R1tBV5IMvF.search.168&securityId=69FY709IkXmfV-S1MKRmB_weEcpS9-oCjrxUgKrURhKHydVgvhNn_zjqUloePNroAjMOrSr5yuptn9-g1DLL-rIqEhUlDUBgihAuq1S0US_6nAGbzlt48prTOrFDi0LKOghuNIrpbz62SQ~~&sessionId=,徐汇区
ai算法工程师,上海·徐汇区·漕河泾,300-500元/时,"3-5年,本科",https://www.zhipin.com/job_detail/fd8e09c3e546374b1HBz09u0GFVX.html?lid=4R1tBV5IMvF.search.169&securityId=3Q3nGLx2zhau6-x1H1QLVOG6gfgPnX2MUw3hHcYPDfWQ9YNwGsHvVIALnzfA4npqg6-XlgsIQxn19H6JAmqUuO32mUU1nDiBVlQhzPO2BEn9nDZl5Ubo-ORrpFwu9y5NZW9YfzZsd1ef&sessionId=,徐汇区
算法工程师,上海·徐汇区·漕河泾,22-29K,"3-5年,本科",https://www.zhipin.com/job_detail/6ea62dcf6db4230b1HZ43tq7FFVQ.html?lid=4R1tBV5IMvF.search.170&securityId=udPwqt8mYMVYM-I1AQlFtvxfS3CnqiEm5b0cmsjp5W6koMoiNPswiSkh3cM3TdUnD03GzLLiIy1yhKBZhBOLmc-Jld_-yBujHcNOTIJIqTY9qRQ73miASwKok71qmaG7bkXoLyUcxhYN&sessionId=,徐汇区
图像算法工程师（医学图像方向）,上海·徐汇区·漕河泾,18-25K,"1-3年,硕士",https://www.zhipin.com/job_detail/2ab726f5dc4f908d1XB83N29EldU.html?lid=4R1tBV5IMvF.search.171&securityId=vaxdjrPuiQg8p-G1kr1g7u1hUmaWhMMF9EAUBt6m0yGRJzYrn8T1btefo5zORpaTJf1bMMq9kcZ8JpIXECXqICH8EVJWqtZaAjcVQEz8Ox1FJLlgOVnT3VWpeLdeRkhMbPdnUoBA_n4~&sessionId=,徐汇区
大模型算法工程师,上海·徐汇区·漕河泾,30-60K,"5-10年,本科",https://www.zhipin.com/job_detail/afc1f737888412071HZ63d60EVtW.html?lid=4R1tBV5IMvF.search.172&securityId=thRiATfdj778A-L1z-cSjdlZT3t-UdXMVNvuy_dte0NSCM6Z2FQVC6mwpWbRVHHn0cz1xpylpawlXs2f0aTNXnEiigQoHP8l29_xJ_dN57ONSAcGTyQn_a0cw6PtKu0px6RWdF_RSI9AvA~~&sessionId=,徐汇区
人工智能算法工程师,上海·徐汇区·龙华,18-30K,"3-5年,本科",https://www.zhipin.com/job_detail/3f67c32b65eff1b51HF639u5GFJY.html?lid=4R1tBV5IMvF.search.173&securityId=13Rr-Y46dVDBE-71ZCOU-Kfd87cYgYM_8jZ2kx1aRpeW7RCAB_FYPNsdxj2xKX4wrhEhT6ZR2O_1To7RPaeu-4L00RhIN8kHW5z5lNYdQZdrZ6zgmi8a0WDjwPVIP00s4qEYMqWI_w2X&sessionId=,徐汇区
大模型算法工程师,上海·徐汇区·万体馆,60-90K,"5-10年,硕士",https://www.zhipin.com/job_detail/abb5d9367c766b301HZ92d-1F1tX.html?lid=4R1tBV5IMvF.search.174&securityId=dnSziSiGJsh3F-q1lAct-t2SI0gn_uNMM_YF_hjNx9BQewAJ_qFPt7vzQlFNOKN5O1dJ5wPVP7HbE0RW9vjBiy3tzmVmH3b7Zo8YQfyYeep8udC4dpgfJTQKkOTnsKA6gSCr2qph8HOt&sessionId=,徐汇区
资深算法工程师（搜索）,上海,40-60K·17薪,"5-10年,本科",https://www.zhipin.com/job_detail/40cd625dc02b652a1HBy39m4EVpT.html?lid=4R1tBV5IMvF.search.175&securityId=hzUafG18VUhys-n1klzT5XlVawknty_keqIAAwR14Swf4CSEjze7ixJnBhQTSE0bIqxg6KsBfy2KbkrKCMpO9O5U3U-DlsZXbalCGtzm48S_sI3v-oc9uAaJIEEeVjn5y03KOFXjug~~&sessionId=,徐汇区
nlp算法工程师,上海,23-45K·16薪,"3-5年,本科",https://www.zhipin.com/job_detail/3507484a22a3773e1XB73t60ElZY.html?lid=4R1tBV5IMvF.search.176&securityId=eeeTCCtLH5kyU-v15lfGbhkefwBsgqbo0_6UtnbZVdrOHdJxUMrg9fwX8ouQ6TGQfF8mvRu2y_DEo25EveMK2MhD5ZJtQWaWuYILFHQ3B8uHKY4sICXO-T0DTt2AUCoh2ezQEFAlxg~~&sessionId=,徐汇区
nlp算法工程师,上海,50-80K·16薪,"1-3年,硕士",https://www.zhipin.com/job_detail/540561cd1e7c449b1X182dy8F1FV.html?lid=4R1tBV5IMvF.search.177&securityId=JZl6IcEXVkca_-T1vqttDui7I7rHnVN18mraUMWQjGVGjWGHzkmfCxS_4eZ9XVNruYC12kIpyI_ijW-qcdqDV1BnGf2HYnaeiJJCo_7M7y0B8v-wtDbDvThyvl1Ote6qsZbjMJ02Ly4QSg~~&sessionId=,徐汇区
ai算法工程师,上海·徐汇区·康健,20-40K,"1-3年,大专",https://www.zhipin.com/job_detail/4f4da95c7579e5231HB82ty5GFZY.html?lid=4R1tBV5IMvF.search.178&securityId=f2yHVB4AdXPne-B1-uJLV1bJx0D11E55y2QUzVjAXqM_Tdp-QAbkO4paxcaCiknkbaBNpMbGxsqs6Usl6-WIqvP13Qi2r883xshekIrvG329hvxaw_UGafRq8dCClAMl7T0RdIoInricOA~~&sessionId=,徐汇区
人工智能算法工程师,上海·徐汇区·龙华,15-30K,"3-5年,本科",https://www.zhipin.com/job_detail/bf8d0756ec7890a71HF72ty1FlJV.html?lid=4R1tBV5IMvF.search.179&securityId=5a6YR5JEIybr--F1MVFA8Fwn1iWhP2Rjurux6tpF13M2RIKsBBlN8L67ofzKc5tuuCkKnYVOnymk1BZ6rXPLzsS-qbZmTwg13SB9hb9RNfSbwuE2fst4ENy0KCqm3ouLU1UxArdEO-bD&sessionId=,徐汇区
ai算法工程师,上海·徐汇区·漕河泾,20-40K,"经验不限,硕士",https://www.zhipin.com/job_detail/021bd569f31c5c621HB83NW1GVNV.html?lid=4R1tBV5IMvF.search.181&securityId=-3we4AAUvZdni-S1TlAlOF9_R4QVi7bu_sFz_UyOl43qSt1feZFqa7IsQ1XUW_K2Kbh0JjRX8M6gZ1jfUoR2NlsIapoCO14v16naDB1dOA3f-YOWCGNrv_E2HjUc2LzxgA7jrLfRDq8YPw~~&sessionId=,徐汇区
ai高级算法工程师,上海·徐汇区·漕河泾,30-50K·15薪,"5-10年,本科",https://www.zhipin.com/job_detail/0c3d62a6d4dadb171HF739W6EVNW.html?lid=4R1tBV5IMvF.search.182&securityId=wvDHiK2K1hdLX-L1juOQDZ3cmZrLZJNaaMQ5vqYXsBf-gDde-MaxTcps-cFqrGxnOGwYxYjEoW0iPL6I0lKbCMkJLllmLSbSygbYVq36FSjZ92qUxE2tZaJWW_edVIXiQ0CtPRSmk3Q~&sessionId=,徐汇区
资深算法工程师,上海·徐汇区·龙华,20-35K,"5-10年,本科",https://www.zhipin.com/job_detail/967ca8cc0dfc91ee1XN_39u6FVVU.html?lid=4R1tBV5IMvF.search.183&securityId=Zb_kKLEI9gqNb-61Xlstii3IgtT3ghosN92ycV7mCtziv_d0PZ0Q8qfkJhSu_mVTDnFPxriCjtsFARESY1vwq8eHujOfgGZcPe7k9jCu2BIMTu7Lvh2mFoUsbeTEJwmif523b6Mh&sessionId=,徐汇区
算法工程师,上海,35-65K,"经验不限,硕士",https://www.zhipin.com/job_detail/1415186eda3444be1Hd73tS9EVpW.html?lid=4R1tBV5IMvF.search.184&securityId=JFi9gODte7N47-F1vaYK4_nz9HcbEavLaQNd69SrrYdTPyG1mQ2h2uacjvR-2rsPj9IKz7czQaOt302mMHV44j94AwEHZYRUsavHA8kn2x6Y9yijWQD1j8U2cixDKoS_-sYFfklkueVS&sessionId=,徐汇区
图形算法工程师,上海,25-30K,"3-5年,本科",https://www.zhipin.com/job_detail/4688f7a6f4d0ac181HB40t26ElNZ.html?lid=4R1tBV5IMvF.search.185&securityId=ejEiT2DWn21Tu-y1z4d37CJtkRKGNjudoRuNIhim5kMOifTIoYTUpHQ_DXEQUNpE_2WMYSlDT_NBbyumuvsi9EQjohEB4T2yU8TLRXmUQVISBd90yvtY1cfhhnQC6N6jBekRRNOmJjFL&sessionId=,徐汇区
大模型算法工程师,上海,30-60K,"5-10年,硕士",https://www.zhipin.com/job_detail/ce0af5c06c7b7c121HZ_2d26FlpZ.html?lid=4R1tBV5IMvF.search.186&securityId=nkMzDODCfKYd--91QkQPjQ3nf4EZcVkag3pTE0b1CaVI3zKvhsdtkG4pO_0nHEBVLHROaZMnXi5qlolrVu48T2QJBgmb2TfcSVFikTQOZbrQ3ysMU2vsbA98QN2eTifHdDJ0jv9o6Fs~&sessionId=,徐汇区
大模型算法工程师/专家,上海·徐汇区·漕河泾,30-50K·15薪,"经验不限,硕士",https://www.zhipin.com/job_detail/93e9b39696c1a4b01Hd83Nq9FFFW.html?lid=4R1tBV5IMvF.search.187&securityId=2ojNjE6exoMd9-U1zeYt-ifGr8w7rwLiQsPa-SP3BuNdhUCB7W9Y8_i_7_p6RZu10kD2eullMUNLyFIWXXTDRihbn6po89rS5x3xIP5XP0ctrnV4rDW6p_0XItlaSTToi7Ad27R-&sessionId=,徐汇区
高级融合算法工程师,上海,50-80K·15薪,"5-10年,硕士",https://www.zhipin.com/job_detail/9699099617224db11X1_3Nm9EVVQ.html?lid=4R1tBV5IMvF.search.188&securityId=eiEFle4EP3gSF-51BqeMBP6oG76CiXRRSmqQI3ZtrfCphe70hfRFsVRHgUO1TPwSzFBsQ9Vl1Pq8s3gGAhlJPbnA3pNDGXzN9jva67TPu-dvjoGROtVQwAN8swNV5hbLrq_gj-LZP4A~&sessionId=,徐汇区
视觉感知算法工程师（北京上海成都可选）,上海,30-60K·15薪,"经验不限,本科",https://www.zhipin.com/job_detail/651fbd3a91a494d81XF90961GFRV.html?lid=4R1tBV5IMvF.search.189&securityId=6shZ8QwL_aotj-M1hzCf95eDDWwF0Nd6E8ya0nPuvCBU-Q6T8S-y6x2kYWT0GdcpcSWmCMsmF-QdgnVLF_iU4mUlg2xtDKbWnxLpQS1NhdNBozOOeDYhkLbhqulxm_udCMRtI8zbfHo~&sessionId=,徐汇区
算法工程师,上海·徐汇区·漕河泾,20-40K,"1-3年,本科",https://www.zhipin.com/job_detail/f64884a3402662941Hdy2ti_EVZY.html?lid=4R1tBV5IMvF.search.190&securityId=YkEhmq3yKYiei-o1O90hakETv7-Exgo7_v5dI_0ZShPglmF0luJR3rG2M7jyQD7LvZ0pTO-p3RDLZQwmS0Uh7Q7kl3AW8MSdjlyapaAnlqpY0dlGMQi30kM3agvEf9_fJ1WPdkFMRaGQ2w~~&sessionId=,徐汇区
AIGC算法工程师,上海,25-40K·13薪,"经验不限,本科",https://www.zhipin.com/job_detail/cd6aa35b5e5122761HV73tS5GFFU.html?lid=4R1tBV5IMvF.search.191&securityId=kHGIMKbEEtRnU-T1siLNvW9sp6h4WNBXVw9Bgmp379pYd-N0brEpvJX9EaBavIx9vpUB-b-JhrfyeSxM_A2HKp9QdAD7OXtLYp7_8gdTD9I3JIIUv9E0VddIZiZpPlYYvxs-F6pKIC01&sessionId=,徐汇区
算法工程师,上海,25-35K·16薪,"5-10年,本科",https://www.zhipin.com/job_detail/3696a9c5a3b39d2e1HF539W_EVZV.html?lid=4R1tBV5IMvF.search.192&securityId=e6rGB7TuxyXhy-r10NslGiP6Ce89BXrOzqm_r2n8FyT7R_V3eCjewYtBnICgFHBavUsju-69k7dKkNq9o2EiLg1RYkcMgfYuX7f-w_SWh4vncL93kSGT2KVTdU6hZGPPtSTMqjAiJxuZNw~~&sessionId=,徐汇区
算法工程师（并行）-程序开发与优化,上海,30-60K,"5-10年,硕士",https://www.zhipin.com/job_detail/f510eba47422f81b1HZ82dm7EVJZ.html?lid=4R1tBV5IMvF.search.193&securityId=2t6krNVdNCeH2-61RfRfaXhT4y7Kwxd6bPPz11dTeugfR2JaFZ5kIE10DXsfoenHQ3B3T1p-vHRWo67FdJcQYnFKiq6DINTACH0a9U0Rbw9jLjxr59hs6Z9D9GlfXzIHAvKItXt33c6r9w~~&sessionId=,徐汇区
nlp算法工程师,上海,30-45K·15薪,"1-3年,本科",https://www.zhipin.com/job_detail/b2104a0519b568311HB-39m5FVBQ.html?lid=4R1tBV5IMvF.search.194&securityId=xgRJNlO7Xsofg-L1w9YdmeMTLxiviSay0BlTdJr-3-odotMndiOO_PWYC_5SKsnOPMauFxPB7bURWTPLXtmhYWr-QWs6tA-H510OAgWRYPQxzqzMvIf4k9OVOZw7m-N65vdWCq482F8~&sessionId=,徐汇区
nlp算法工程师,上海,35-65K·15薪,"经验不限,本科",https://www.zhipin.com/job_detail/03d5fad4f603126b1XB629u1GVZY.html?lid=4R1tBV5IMvF.search.195&securityId=Z0izOrXCOSKkC-V1crLML6ZqeZLWLm4Vq1nI15YhMZ6x3KiRXuBz-zql565EA5A-b1YXEYT37GJGtyXrOMyphoFzTc7QRL0MZdvncQ7S-_Z5TI0vpxXWJjHfsnSqKwBRnPkW0UD4bg~~&sessionId=,徐汇区
优化算法工程师,上海,35-55K·14薪,"5-10年,硕士",https://www.zhipin.com/job_detail/f71a157fc7655e971HF63ty7F1FV.html?lid=4R1tBV5IMvF.search.196&securityId=BsumTaQlv3Y3r-C1gcurvU7nQtCGSV6t884vtBHMZ3IAiob9NdTugL11TF3PBK9KLX2rpHvKKr_x6qEUwwjDLKoombv6-j4sae1CAmOTsjXCOk0sNprbbqlumuYXUJ58m-ZuInZ0vuSecw~~&sessionId=,徐汇区
