名称,地点,薪资,招聘需求,详情网址,区域
石沟招聘家电维修,上海·崇明区·城桥,7-12K,"经验不限,学历不限",https://www.zhipin.com/job_detail/1dabc96a5de439c41HV639S0E1FS.html?lid=4R66DVQbjLz.search.14&securityId=xByEV5_8XAolv-c1ONJPu9zPRqISRtYReOSAFt7KkNxc1t_niGVeydmwMqDCqBomen1VBxBgPcGfKP0eY78wlUIusCCQFoxzXnW11SUddOGrjxokIqdC2ow9Xkx_6eBKyFqaI-6XlDfv2Q~~&sessionId=,崇明区
机械工程师,上海,20-21K,"1-3年,本科",https://www.zhipin.com/job_detail/4b04b4340d31fbab1XJ40ti4FFpU.html?lid=4R66DVQbjLz.search.15&securityId=vIsQ8YEEdhkCI-C1P5hUHEvN5L18hjrvS0O_5XhWJ-jSH_NPRrKYoS66GT1i4SKHI2UmP04CCWsdiW4Nn6KfGrbj63GSSjMafY-T8KjA1DmqnxbEQZ67T6cvYnASFblwgD46U5E6nMCT&sessionId=,崇明区
电气运维工程师,上海·崇明区·城桥,8-10K,"经验不限,大专",https://www.zhipin.com/job_detail/4f9558359381e7711HF53Nu5EFZU.html?lid=4R66DVQbjLz.search.16&securityId=VbPB3MofwDFij-E1w7nA31BV7A446aod7U2oGtY04t4-_yMnzJnOheh7qpEcJMljFD_lvLaXWRj1SDNpcm6Vg8EuKZGjq3gP21pYJsbNkXveNWrbt-avNhUJ1Gifz69ipbGoYGxLnBEu9Q~~&sessionId=,崇明区
现场工程师,上海·崇明区·长兴岛,10-11K,"5-10年,大专",https://www.zhipin.com/job_detail/e80220e8960da1e61XF93Nm-GVdZ.html?lid=4R66DVQbjLz.search.17&securityId=VDR1vO2dA1L56-R1NjMcvEH0icgZ3bLL-RSF0j36u0cobcKMOK0rt1RxwMX2lAwGtWFOSvib-Xt9i-hYMXXJQBh5VkxcucBXiYsd3DgXh7x2XqBtkX_862foHd9DKhRP-j9hL5JDIMxmZw~~&sessionId=,崇明区
运维工程师,上海·崇明区·南门,5-10K·13薪,"1年以内,大专",https://www.zhipin.com/job_detail/7553093a325d9f5a1nZ82tq0FVRZ.html?lid=4R66DVQbjLz.search.18&securityId=ML1Whd_uCENu3-h1-cX40kZg3uQ2zRSDg90NhUAmM05aXVrJt3_abJMtBftpZUuK0s4HOk5Ap9St1GI-X5N4Fyc1PaBF4XZ0qgPUZjMG4xVl_H_xcSZ0KIjClrBpV7KnPbk_CLfkZtQ~&sessionId=,崇明区
水暖工程师,上海·崇明区·陈家,10-15K,"3-5年,大专",https://www.zhipin.com/job_detail/fb78cfcce0ddbeb11HV53tm7FFdR.html?lid=4R66DVQbjLz.search.19&securityId=ii4GEMyyuxkOO-j1evnMzqXIFIkGq4hd9lF5giBbYS2bAN5vpo7ba7NRGIHb3wo-AB-lrBCbkmBwp1VwA6Q4uw1g3y5GQWEQunWi1uf6Yqh7tvMsMtVv42WFryE2HCJfHdzfxWeq_C6FfA~~&sessionId=,崇明区
管培生/储备干部,上海·崇明区·南门,7-10K,"经验不限,大专",https://www.zhipin.com/job_detail/7e76b8d5951018791XN53tm6GFZQ.html?lid=4R66DVQbjLz.search.20&securityId=yNneypwh80FUU-M1QZG2L0jMj7GRQbV25NmfeB6gaYuDLyhd-3BWw6Sp7Wq8lLlf0zBWoJ7pOBObmePjoNDD5GOKsFHkxNG5FyYGBXqQktrDLuDSoBeUqMvFIFQpZWzqF9c16oIDJ-GP5Q~~&sessionId=,崇明区
运维工程师,上海·崇明区·南门,6-8K,"1-3年,中专/中技",https://www.zhipin.com/job_detail/c13b90a4842d48461nB609W-GVc~.html?lid=4R66DVQbjLz.search.21&securityId=StWsP2iUbBnEC-q1KsP8E6N-DaGTk-p5esu3EkrmUEOXT2BlwkbuDC6QHibMEQjw4udZPXPTzxL8qS1oZt-FBBcuh5Mzu1FYjGdf77nBOKIFh3BoxmWAnNvemyyOXMylKUK4ed_6tw~~&sessionId=,崇明区
算法交易研究员,上海,15-30K,"经验不限,本科",https://www.zhipin.com/job_detail/0964a71eecccfcce1Hd40t-9EFVR.html?lid=4R66DVQbjLz.search.22&securityId=Odx1y1472zqU0-Y1-vHag5UVgzq2o2KR25sO05jl2VRIiMtygFqDMtp4fGj80yPx79r0oSElWF6GKhJ4TnglNr77gMd4B8XQ1da2Q2qsKk01R6KP-uPl0OcBzqMTosIRGtnl1BM1bSq-&sessionId=,崇明区
电气工程师,上海·崇明区·长兴岛,7-10K·14薪,"经验不限,本科",https://www.zhipin.com/job_detail/4980e3689cb8b3dc1Xxz2Nq6FFdW.html?lid=4R66DVQbjLz.search.23&securityId=-T4JSbl02uaT6-C1Kk_m4-uAfwkT3ZINK9w1GJc8n7wukBpeHme5RMQF5yV3WjkkkA7JYySKRuIMno2Uo0EIh3FyaU0AiclsXmRrKP6iHlajAwDH8Fhhi7jgV9Djzxm-xW1gC6ZhoQo~&sessionId=,崇明区
